     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         981.351          35.600          38.143          35.765           0.429 (1.201 %)  12799.386
reduc_unroll4           0.938           0.001           0.000         60         35         940.757         221.086         222.971         221.826           0.466 (0.210 %)   2063.616
redc_unroll8           0.938           0.001           0.000         60         35        2620.463         549.914         551.600         550.705           0.459 (0.083 %)    831.232
