     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         386.065          39.457          41.629          39.628           0.363 (0.915 %)  11551.607
reduc_unroll4           0.938           0.001           0.000         60         35        1398.979         221.571         222.543         222.068           0.299 (0.135 %)   2061.371
redc_unroll8           0.938           0.001           0.000         60         35        1805.543         471.657         627.229         477.149          26.946 (5.647 %)    959.373
