     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      160523.371      174044.571      161699.930        2512.708 (1.554 %)    169.857
       IKJ          84.375           0.082           0.000         60         35       52020.743      102507.543       53699.369        8771.548 (16.335 %)    511.474
       IEX          84.375           0.082           0.000         60         35       51935.171       52241.486       52041.114          50.271 (0.097 %)    527.772
    UNROLL          84.375           0.082           0.000         60         35       92350.771       98262.800       92681.124        1030.925 (1.112 %)    296.348
     CBLAS          84.375           0.082           0.000         60         35       13945.286       16415.771       14091.010         426.909 (3.030 %)   1949.173
  UNROLLx8          84.375           0.082           0.000         60         35      104180.371      105288.429      104896.216         150.408 (0.143 %)    261.838
