     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      167426.857      217997.086      169713.975        8785.394 (5.177 %)    161.836
       IKJ          84.375           0.082           0.000         60         35       67108.771       68021.429       67183.277         166.611 (0.248 %)    408.819
       IEX          84.375           0.082           0.000         60         35       51553.171       52094.000       51657.326         130.792 (0.253 %)    531.693
    UNROLL          84.375           0.082           0.000         60         35       60391.543       60824.029       60446.874          73.289 (0.121 %)    454.380
     CBLAS          84.375           0.082           0.000         60         35       13879.029       15617.514       13948.295         300.643 (2.155 %)   1969.117
  UNROLLx8          84.375           0.082           0.000         60         35      151124.143      152106.343      151431.397         177.379 (0.117 %)    181.375
