     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         234.375           0.229           0.000        100         35      930489.000      984204.629      933220.772        9391.540 (1.006 %)     81.753
       IKJ         234.375           0.229           0.000        100         35      304106.971      304382.657      304188.682          62.107 (0.020 %)    250.811
       IEX         234.375           0.229           0.000        100         35      231274.286      231819.600      231416.635         127.748 (0.055 %)    329.682
    UNROLL         234.375           0.229           0.000        100         35      287380.257      340284.200      289063.490        9195.215 (3.181 %)    263.935
     CBLAS         234.375           0.229           0.000        100         35       54403.486       56894.600       54533.212         425.732 (0.781 %)   1399.036
  UNROLLx8         234.375           0.229           0.000        100         35      698591.543      750848.600      702069.773        8818.520 (1.256 %)    108.670
