     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35       16457.414          46.257          49.343          46.494           0.517 (1.112 %)   9845.755
dotprod_unroll4           0.938           0.001           0.000         60         35        4400.994         250.571         252.571         251.064           0.397 (0.158 %)   1823.294
dotprod_unroll8           0.938           0.001           0.000         60         35 28246154385559700264493098755341695389729770311179767418488825156740792707166867313641058398728903029729895046759986823547664647205025690581045552594666002424263381312459869924744450948246536192.000         538.829         570.314         542.956           9.095 (1.675 %)    843.096
