     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        3715.298          43.857          48.486          44.240           0.780 (1.762 %)  10347.321
dotprod_unroll4           0.938           0.001           0.000         60         35       11329.089         229.857         231.086         230.509           0.377 (0.164 %)   1985.881
dotprod_unroll8           0.938           0.001           0.000         60         35       14749.979         532.029         533.086         532.576           0.391 (0.073 %)    859.528
