     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        1747.648          23.314          34.314          23.773           1.895 (7.972 %)  19255.483
dotprod_unroll4           0.938           0.001           0.000         60         35        3156.008          50.029          51.371          50.198           0.229 (0.456 %)   9119.113
dotprod_unroll8           0.938           0.001           0.000         60         35       18908.730          65.743          77.943          66.343           2.085 (3.143 %)   6899.969
