     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        1478.607          47.200          49.686          47.374           0.421 (0.889 %)   9662.756
dotprod_unroll4           0.938           0.001           0.000         60         35       14106.709         250.371         252.229         250.864           0.385 (0.153 %)   1824.748
dotprod_unroll8           0.938           0.001           0.000         60         35       26494.862         538.029         540.057         538.635           0.464 (0.086 %)    849.859
