     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        1281.298          44.771          50.914          45.075           1.051 (2.331 %)  10155.527
dotprod_unroll4           0.938           0.001           0.000         60         35       13126.091         232.057         233.771         232.597           0.352 (0.151 %)   1968.059
dotprod_unroll8           0.938           0.001           0.000         60         35             inf         535.571         536.686         536.139           0.386 (0.072 %)    853.815
