     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        2949.041          45.400          49.171          45.685           0.637 (1.393 %)  10020.033
dotprod_unroll4           0.938           0.001           0.000         60         35        2770.803         238.686         240.286         239.319           0.334 (0.139 %)   1912.779
dotprod_unroll8           0.938           0.001           0.000         60         35       12067.174         534.543         536.057         535.110           0.433 (0.081 %)    855.457
