     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         649.942          46.257          49.457          46.506           0.534 (1.149 %)   9843.006
dotprod_unroll4           0.938           0.001           0.000         60         35        5221.174         250.429         251.400         250.897           0.309 (0.123 %)   1824.509
dotprod_unroll8           0.938           0.001           0.000         60         35       23509.246         537.886         541.229         538.577           0.682 (0.127 %)    849.950
