     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      166202.914      172180.257      166654.664        1182.393 (0.709 %)    164.807
       IKJ          84.375           0.082           0.000         60         35       99483.200      100088.514       99649.512         134.611 (0.135 %)    275.624
       IEX          84.375           0.082           0.000         60         35       99190.400      149743.886      100890.707        8780.492 (8.703 %)    272.233
    UNROLL          84.375           0.082           0.000         60         35       97926.229       98476.229       98117.210         125.395 (0.128 %)    279.929
     CBLAS          84.375           0.082           0.000         60         35       13909.457       15758.914       13985.214         319.189 (2.282 %)   1963.919
  UNROLLx8          84.375           0.082           0.000         60         35      197139.257      197852.057      197498.031         104.617 (0.053 %)    139.069
