     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      158558.086      163626.657      158907.087         919.569 (0.579 %)    172.842
       IKJ          84.375           0.082           0.000         60         35       51994.457       52397.943       52065.091          78.699 (0.151 %)    527.529
       IEX          84.375           0.082           0.000         60         35       51940.714       52371.229       52074.129         106.762 (0.205 %)    527.437
    UNROLL          84.375           0.082           0.000         60         35       92266.400       92911.086       92378.133         136.207 (0.147 %)    297.319
     CBLAS          84.375           0.082           0.000         60         35       13926.457       15664.286       14016.464         305.202 (2.177 %)   1959.540
  UNROLLx8          84.375           0.082           0.000         60         35      104112.829      155399.286      106398.888        8807.312 (8.278 %)    258.140
