     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      162717.771      169825.771      163525.412        1860.155 (1.138 %)    167.961
       IKJ          84.375           0.082           0.000         60         35       51782.143       52597.600       52003.271         140.533 (0.270 %)    528.156
       IEX          84.375           0.082           0.000         60         35       51975.086       56652.771       52395.765         902.998 (1.723 %)    524.199
    UNROLL          84.375           0.082           0.000         60         35       92331.200       98971.800       92662.357        1142.987 (1.233 %)    296.408
     CBLAS          84.375           0.082           0.000         60         35       14007.600       15798.029       14121.767         312.737 (2.215 %)   1944.928
  UNROLLx8          84.375           0.082           0.000         60         35      104026.314      105167.686      104859.243         162.190 (0.155 %)    261.930
