     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         206.585          35.600          38.600          35.797           0.506 (1.414 %)  12787.623
reduc_unroll4           0.938           0.001           0.000         60         35        1274.119         224.629         226.114         225.214           0.329 (0.146 %)   2032.573
redc_unroll8           0.938           0.001           0.000         60         35        1798.428         553.629         589.943         556.267           7.206 (1.295 %)    822.921
