     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         395.297          40.571          42.571          40.752           0.332 (0.814 %)  11233.047
reduc_unroll4           0.938           0.001           0.000         60         35        1407.330         221.057         222.457         221.726           0.361 (0.163 %)   2064.543
redc_unroll8           0.938           0.001           0.000         60         35        5353.949         482.943         485.314         483.738           0.521 (0.108 %)    946.306
