     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35       93004.314       95806.943       93322.639         637.751 (0.683 %)    294.310
       IKJ          84.375           0.082           0.000         60         35       67088.086       67200.429       67131.488          29.987 (0.045 %)    409.135
       IEX          84.375           0.082           0.000         60         35       51545.514       51897.257       51633.073          90.140 (0.175 %)    531.942
    UNROLL          84.375           0.082           0.000         60         35       60247.371       60858.514       60295.330         104.338 (0.173 %)    455.522
     CBLAS          84.375           0.082           0.000         60         35       13899.743       15643.714       13976.092         300.338 (2.149 %)   1965.200
  UNROLLx8          84.375           0.082           0.000         60         35      153220.657      203892.200      155125.839        8765.224 (5.650 %)    177.055
