     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         289.959          39.429          41.714          39.597           0.385 (0.971 %)  11560.447
reduc_unroll4           0.938           0.001           0.000         60         35         754.500         222.057         224.200         222.711           0.423 (0.190 %)   2055.417
redc_unroll8           0.938           0.001           0.000         60         35        1961.778         472.114         473.286         472.686           0.390 (0.083 %)    968.431
