     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35        4465.131          14.371          18.457          14.570           0.700 (4.802 %)  31418.888
dotprod_unroll4           0.938           0.001           0.000         60         35        5543.108          88.829          93.171          89.259           0.742 (0.831 %)   5128.495
dotprod_unroll8           0.938           0.001           0.000         60         35        8083.335         160.286         162.886         160.848           0.444 (0.276 %)   2845.946
