     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         234.375           0.229           0.000        100         35      846936.543      900616.886      850104.831        9895.770 (1.164 %)     89.747
       IKJ         234.375           0.229           0.000        100         35      271259.343      276514.114      272390.934         767.807 (0.282 %)    280.090
       IEX         234.375           0.229           0.000        100         35      271070.114      397824.886      275907.550       21888.114 (7.933 %)    276.520
    UNROLL         234.375           0.229           0.000        100         35      435235.886      485973.286      437124.492        8818.218 (2.017 %)    174.536
     CBLAS         234.375           0.229           0.000        100         35       54491.971       56991.686       54634.016         425.142 (0.778 %)   1396.455
  UNROLLx8         234.375           0.229           0.000        100         35      525359.171      579618.400      528248.091        9229.218 (1.747 %)    144.428
