     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          84.375           0.082           0.000         60         35      166877.457      201806.143      169485.110        5944.317 (3.507 %)    162.054
       IKJ          84.375           0.082           0.000         60         35      128988.057      129441.429      129027.022          76.900 (0.060 %)    212.869
       IEX          84.375           0.082           0.000         60         35      129981.857      130393.400      130016.720          70.943 (0.055 %)    211.248
    UNROLL          84.375           0.082           0.000         60         35       96115.743       96599.629       96259.302          98.094 (0.102 %)    285.332
     CBLAS          84.375           0.082           0.000         60         35       13919.771       15629.314       13990.498         295.047 (2.109 %)   1963.177
  UNROLLx8          84.375           0.082           0.000         60         35      197786.229      252133.314      200373.416        9298.684 (4.641 %)    137.073
