     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35       25045.748          17.400          23.857          17.701           1.107 (6.253 %)  25860.457
reduc_unroll4           0.938           0.001           0.000         60         35        1825.228          43.029          44.029          43.188           0.165 (0.383 %)  10599.355
redc_unroll8           0.938           0.001           0.000         60         35        6066.942          34.543          37.200          34.765           0.447 (1.287 %)  13167.232
