     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         218.852           9.800          21.971          10.215           2.112 (20.674 %)  44814.125
reduc_unroll4           0.938           0.001           0.000         60         35        1233.300         120.000         123.086         120.505           0.501 (0.416 %)   3798.719
redc_unroll8           0.938           0.001           0.000         60         35        6408.308         169.714         171.200         170.078           0.295 (0.174 %)   2691.494
