     title             KiB             MiB             GiB          n          r               d             min             max            mean                 stddev (%)      MiB/s
      BASE           0.938           0.001           0.000         60         35         344.856          39.543          41.943          39.727           0.405 (1.019 %)  11522.655
reduc_unroll4           0.938           0.001           0.000         60         35       23911.397         222.429         224.314         222.941           0.369 (0.165 %)   2053.294
redc_unroll8           0.938           0.001           0.000         60         35        2787.809         473.600         475.343         474.692           0.496 (0.105 %)    964.339
